Run,Sample sheet_Sample_ID,Clinical/RnD,Support,Сlinical QC Required,Is it top off seq?,Is it reseq?,Sample target,FlowCell,Project,Source,Tumor/Normal,Input material type,"Extraction 
place",Extraction kit,Library construction kit,Library prob set kit,Case_ID (patient ID),Specimen_ID,"Library Lab_ID 
(unique)",Extract BG_ID,Patient BG_ID,Sample BG_ID,Library Concentration
230512_NovaD_XTHS2,WES-normal-230512_NovaD_Sample_1,RnD,No,No,,,,S1,Coverage map,DNA,normal,Saliva,,Maxwell RSC Stabilized Saliva DNA Kit,Agilent XTHS2 RNA,V8+UTR,PT003656,,LIB007782,D003471,RS003047,RS003047_N_S,126
230512_NovaD_XTHS2,WES-normal-230512_NovaD_Sample_2,RnD,No,No,,,,S1,Coverage map,DNA,normal,Saliva,,Maxwell RSC Stabilized Saliva DNA Kit,Agilent XTHS2 RNA,V8+UTR,PT003657,,LIB007783,D003472,RS003048,RS003048_N_S,104
230512_NovaD_XTHS2,WES-normal-230512_NovaD_Sample_3,RnD,No,No,,,,S1,Coverage map,DNA,normal,Saliva,,Maxwell RSC Stabilized Saliva DNA Kit,Agilent XTHS2 RNA,V8+UTR,PT003658,,LIB007784,D003473,RS003049,RS003049_N_S,105
230512_NovaD_XTHS2,WES-normal-230512_NovaD_Sample_4,RnD,No,No,,,,S1,Coverage map,DNA,normal,Saliva,,Maxwell RSC Stabilized Saliva DNA Kit,Agilent XTHS2 RNA,V8+UTR,PT003659,,LIB007785,D003474,RS003050,RS003050_N_S,62
230512_NovaD_XTHS2,WES-normal-230512_NovaD_Sample_5,RnD,No,No,,,,S1,Coverage map,DNA,normal,Saliva,,Maxwell RSC Stabilized Saliva DNA Kit,Agilent XTHS2 RNA,V8+UTR,PT003660,,LIB007786,D003475,RS003051,RS003051_N_S,39
230512_NovaD_XTHS2,WES-normal-230512_NovaD_Sample_6,RnD,No,No,,,,S1,Coverage map,DNA,normal,Saliva,,Maxwell RSC Stabilized Saliva DNA Kit,Agilent XTHS2 RNA,V8+UTR,PT003661,,LIB007787,D003476,RS003052,RS003052_N_S,40
230512_NovaD_XTHS2,WES-normal-230512_NovaD_Sample_7,RnD,No,No,,,,S1,Coverage map,DNA,normal,Saliva,,Maxwell RSC Stabilized Saliva DNA Kit,Agilent XTHS2 RNA,V8+UTR,PT003662,,LIB007788,D003477,RS003053,RS003053_N_S,96
230512_NovaD_XTHS2,WES-normal-230512_NovaD_Sample_8,RnD,No,No,,,,S1,Coverage map,DNA,normal,Saliva,,Maxwell RSC Stabilized Saliva DNA Kit,Agilent XTHS2 RNA,V8+UTR,PT003663,,LIB007789,D003478,RS003054,RS003054_N_S,124
230512_NovaD_XTHS2,WES-normal-230512_NovaD_Sample_9,RnD,No,No,,,,S1,Coverage map,DNA,normal,Whole blood,,Maxwell RSC Blood DNA Kit,Agilent XTHS2 RNA,V8+UTR,PT000685,,LIB007790,D003181,CP000614,CP000614_N_WB,77
230512_NovaD_XTHS2,WES-normal-230512_NovaD_Sample_10,RnD,No,No,,,,S1,Coverage map,DNA,normal,Saliva,,Maxwell RSC Stabilized Saliva DNA Kit,Agilent XTHS2 RNA,V8+UTR,PT002039,,LIB007791,D004222,CP000762,CP000762_N_S,107
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_1,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT000414,F003819,LIB007314,R008329,RS002096,RS002096_T_PB1,16
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_2,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT000414,F003820,LIB007315,R008330,RS002096,RS002096_T_PB1,42
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_3,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT000414,F003821,LIB007316,R008331,RS002096,RS002096_T_PB1,9
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_4,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT000415,F003822,LIB007317,R008332,RS002097,RS002097_T_PB1,10
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_5,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT000415,F003823,LIB007318,R008333,RS002097,RS002097_T_PB1,96
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_6,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT000415,F003824,LIB007319,R008334,RS002097,RS002097_T_PB1,135
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_7,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003336,F003825,LIB007320,R008335,RS002948,RS002948_T_PB,82
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_8,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003336,F003826,LIB007321,R008336,RS002948,RS002948_T_PB,26
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_9,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003336,F003827,LIB007322,R008337,RS002948,RS002948_T_PB,103
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_10,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003338,F003829,LIB007323,R008338,RS002950,RS002950_T_PB,3
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_11,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003338,F003828,LIB007324,R008339,RS002950,RS002950_T_PB,31
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_12,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003338,F003830,LIB007325,R008340,RS002950,RS002950_T_PB,121
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_13,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003340,F003878,LIB007327,R008341,RS002952,RS002952_T_PB,133
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_14,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003340,F003879,LIB007328,R008342,RS002952,RS002952_T_PB,80
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_15,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003344,F003880,LIB007329,R008343,RS002956,RS002956_T_PB,144
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_16,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003344,F003881,LIB007330,R008344,RS002956,RS002956_T_PB,56
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_17,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003344,F003882,LIB007331,R008345,RS002956,RS002956_T_PB,93
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_18,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003348,F004048,LIB007332,R008346,RS002960,RS002960_T_PB,26
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_19,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003346,F004044,LIB007333,R008347,RS002958,RS002958_T_PB,106
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_20,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003342,F004042,LIB007334,R008348,RS002954,RS002954_T_PB,113
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_21,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003346,F004045,LIB007335,R008349,RS002958,RS002958_T_PB,149
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_22,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003348,F004046,LIB007336,R008350,RS002960,RS002960_T_PB,131
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_23,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003348,F004047,LIB007337,R008351,RS002960,RS002960_T_PB,44
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_24,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003342,F004041,LIB007338,R008352,RS002954,RS002954_T_PB,129
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_25,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003346,F004043,LIB007339,R008353,RS002958,RS002958_T_PB,22
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_26,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,PBMC,BG,Maxwell SimplyRNA,mRNA_prep,,PT003342,F004040,LIB007340,R008354,RS002954,RS002954_T_PB,37
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_27,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,FF,BG,Maxwell SimplyRNA,mRNA_prep,,,F003926,LIB007341,R008355,RS0536,RS0536_N_F,66
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_28,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,FF,BG,Maxwell SimplyRNA,mRNA_prep,,PT000286,F004029,LIB007342,R008356,RS001178,RS001178_N_F,37
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_29,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,FF,BG,Maxwell SimplyRNA,mRNA_prep,,PT000286,F004028,LIB007343,R008357,RS001178,RS001178_N_F,0
230512_NovaB_mRNA,RNASeq-tumor-230512_NovaB_Sample_30,RnD,Yes,No,,,,S2,Immune Status,RNA,tumor,FF,BG,Maxwell SimplyRNA,mRNA_prep,,,F003931,LIB007344,R008358,RS0536,RS0536_N_F,123
